bsbsbsbs,codepoint
11341421,445
12251132,446
11342132,447
12251231,448
11342231,449
11351123,450
21351131,451
11351222,452
11351321,453
12261131,454
11352131,455
11361122,456
11361221,457
14111144,458
24111152,459
14111243,460
24111251,461
14111342,462
14111441,463
14112152,464
14112251,465
54113111,466
44114111,467
34115111,468
24116111,469
13211135,470
23211143,471
33211151,472
13211234,473
23211242,474
13211333,475
23211341,476
13211432,477
13211531,478
14121143,479
24121151,480
13212143,481
14121242,482
13212242,483
14121341,484
13212341,485
14122151,486
13213151,487
12311126,488
22311134,489
32311142,490
12311225,491
22311233,492
32311241,493
12311324,494
22311332,495
12311423,496
22311431,497
12311522,498
12311621,499
13221134,500
23221142,501
12312134,502
13221233,503
23221241,504
12312233,505
13221332,506
12312332,507
13221431,508
12312431,509
14131142,510
13222142,511
14131241,512
12313142,513
13222241,514
12313241,515
21411125,516
31411133,517
41411141,518
11411216,519
21411224,520
31411232,521
11411315,522
21411323,523
31411331,524
11411414,525
21411422,526
11411513,527
21411521,528
11411612,529
12321125,530
22321133,531
32321141,532
11412125,533
12321224,534
22321232,535
11412224,536
21412232,537
22321331,538
11412323,539
12321422,540
11412422,541
12321521,542
11412521,543
13231133,544
23231141,545
12322133,546
13231232,547
11413133,548
12322232,549
13231331,550
11413232,551
12322331,552
11413331,553
14141141,554
13232141,555
12323141,556
11414141,557
11421116,558
21421124,559
31421132,560
11421215,561
21421223,562
31421231,563
11421314,564
21421322,565
11421413,566
21421421,567
11421512,568
11421611,569
12331124,570
22331132,571
11422124,572
12331223,573
22331231,574
11422223,575
21422231,576
11422322,577
12331421,578
11422421,579
13241132,580
12332132,581
13241231,582
11423132,583
12332231,584
11423231,585
11431115,586
21431123,587
31431131,588
11431214,589
21431222,590
11431313,591
21431321,592
11431412,593
11431511,594
12341123,595
22341131,596
11432123,597
12341222,598
11432222,599
12341321,600
11432321,601
13251131,602
12342131,603
11433131,604
11441114,605
21441122,606
11441213,607
21441221,608
11441312,609
11441411,610
12351122,611
11442122,612
12351221,613
11442221,614
11451113,615
21451121,616
11451212,617
11451311,618
12361121,619
11452121,620
15111143,621
25111151,622
15111242,623
15111341,624
15112151,625
14211134,626
24211142,627
14211233,628
24211241,629
14211332,630
14211431,631
15121142,632
14212142,633
15121241,634
14212241,635
13311125,636
23311133,637
33311141,638
13311224,639
23311232,640
13311323,641
23311331,642
13311422,643
13311521,644
14221133,645
24221141,646
13312133,647
14221232,648
13312232,649
14221331,650
13312331,651
15131141,652
14222141,653
13313141,654
12411116,655
22411124,656
32411132,657
12411215,658
22411223,659
32411231,660
12411314,661
22411322,662
12411413,663
22411421,664
12411512,665
12411611,666
13321124,667
23321132,668
12412124,669
13321223,670
23321231,671
12412223,672
22412231,673
12412322,674
13321421,675
12412421,676
14231132,677
13322132,678
14231231,679
12413132,680
13322231,681
12413231,682
21511115,683
31511123,684
41511131,685
21511214,686
31511222,687
21511313,688
31511321,689
21511412,690
21511511,691
12421115,692
22421123,693
32421131,694
11512115,695
12421214,696
22421222,697
11512214,698
21512222,699
22421321,700
11512313,701
12421412,702
11512412,703
12421511,704
11512511,705
13331123,706
23331131,707
12422123,708
13331222,709
11513123,710
12422222,711
13331321,712
11513222,713
12422321,714
11513321,715
14241131,716
13332131,717
12423131,718
11514131,719
21521114,720
31521122,721
21521213,722
31521221,723
21521312,724
21521411,725
12431114,726
22431122,727
11522114,728
12431213,729
22431221,730
11522213,731
21522221,732
11522312,733
12431411,734
11522411,735
13341122,736
12432122,737
13341221,738
11523122,739
12432221,740
11523221,741
21531113,742
31531121,743
21531212,744
21531311,745
12441113,746
22441121,747
11532113,748
12441212,749
11532212,750
12441311,751
11532311,752
13351121,753
12442121,754
11533121,755
21541112,756
21541211,757
12451112,758
11542112,759
12451211,760
11542211,761
16111142,762
16111241,763
15211133,764
25211141,765
15211232,766
15211331,767
16121141,768
15212141,769
14311124,770
24311132,771
14311223,772
24311231,773
14311322,774
14311421,775
15221132,776
14312132,777
15221231,778
14312231,779
13411115,780
23411123,781
33411131,782
13411214,783
23411222,784
13411313,785
23411321,786
13411412,787
13411511,788
14321123,789
24321131,790
13412123,791
23412131,792
13412222,793
14321321,794
13412321,795
15231131,796
14322131,797
13413131,798
22511114,799
32511122,800
22511213,801
